employee_id,home_area,latitude,longitude,distance_to_workplace_km,walk_to_station_min,waiting_time_min,public_transport_min,transfer_count,station_to_work_min,door_to_door_min,commute_group,connectivity_score,adoption_score,adoption_category
EMP0019,Hamburg-Harburg,53.456851,9.981117,35.73,7.7,9.2,28.2,3,7.3,64.4,>60 min,38.7,41.1,Medium
EMP0020,Hamburg-Wandsbek,53.609154,10.096558,22.09,7.7,5.4,51.8,1,8.0,76.9,>60 min,38.2,36.4,Low
EMP0021,Hamburg-Bergedorf,53.488871,10.225047,34.19,6.8,6.9,56.2,2,11.1,89.0,>60 min,24.1,23.3,Low
EMP0022,Hamburg-Eimsbüttel,53.537317,9.925371,14.47,12.4,4.3,20.7,0,2.0,39.4,31–45 min,77.1,74.7,High
EMP0023,Ahrensburg,53.627297,10.232078,17.1,5.4,4.3,58.4,0,15.4,83.5,>60 min,33.1,27.8,Low
EMP0024,Norderstedt,53.656988,10.006367,9.5,3.0,7.2,9.2,1,7.7,31.2,31–45 min,82.2,83.0,High
EMP0025,Hamburg-Bergedorf,53.506454,10.220065,32.19,5.6,4.4,47.9,0,9.9,67.8,>60 min,51.8,48.4,Medium
EMP0026,Hamburg-Altona,53.51516,9.907204,31.76,12.6,8.9,31.9,0,11.0,64.4,>60 min,46.5,40.8,Medium
EMP0027,Hamburg-Nord,53.590483,9.999774,11.39,12.5,5.8,19.4,0,4.8,42.5,31–45 min,71.5,68.2,Medium
EMP0028,Hamburg-Altona,53.546421,9.913593,17.07,5.9,6.8,52.3,0,5.4,70.3,>60 min,53.9,51.8,Medium
EMP0029,Hamburg-Altona,53.590717,9.947329,19.73,1.0,9.1,19.5,1,3.9,37.5,31–45 min,79.6,81.0,High
EMP0030,Hamburg-Wandsbek,53.545703,10.038556,18.7,10.3,9.1,42.2,2,5.3,75.0,>60 min,34.5,34.6,Low
EMP0031,Hamburg-Bergedorf,53.539316,10.269694,33.71,8.3,6.1,41.7,0,9.0,65.0,>60 min,52.4,48.5,Medium
EMP0032,Ahrensburg,53.670711,10.196015,13.15,5.0,5.7,39.8,1,13.1,67.5,>60 min,44.0,41.7,Medium
EMP0033,Hamburg-Eimsbüttel,53.618491,9.937944,15.77,10.9,9.5,25.6,2,12.6,66.6,>60 min,33.8,31.8,Low
EMP0034,Hamburg-Eimsbüttel,53.591256,9.964839,19.97,11.0,6.3,38.4,2,8.3,72.0,>60 min,33.4,32.5,Low
EMP0035,Hamburg-Nord,53.620911,10.013459,21.72,12.6,6.8,27.0,2,12.3,66.8,>60 min,32.2,29.7,Low
EMP0036,Hamburg-Altona,53.551303,9.995105,12.04,11.6,7.0,17.9,1,2.0,42.5,31–45 min,69.8,69.4,Medium
EMP0037,Hamburg-Altona,53.504731,9.915157,25.07,10.5,7.0,30.5,1,8.5,60.5,>60 min,49.0,46.6,Medium
EMP0038,Hamburg-Nord,53.632616,10.012467,15.69,4.5,2.0,30.4,0,5.1,42.1,31–45 min,79.6,78.6,High
EMP0039,Hamburg-Eimsbüttel,53.558122,9.960099,20.83,1.0,4.1,41.9,1,5.0,56.0,46–60 min,63.8,64.8,Medium
EMP0040,Hamburg-Wandsbek,53.565374,10.079221,17.44,9.7,8.9,36.4,1,13.5,72.5,>60 min,34.6,30.6,Low
EMP0041,Hamburg-Nord,53.55366,9.987757,16.45,3.3,6.3,37.7,1,8.7,60.0,46–60 min,56.4,56.1,Medium
EMP0042,Hamburg-Harburg,53.448586,9.956064,44.26,10.6,7.8,48.3,1,8.8,79.6,>60 min,32.3,29.3,Low
EMP0043,Hamburg-Wandsbek,53.58118,10.071149,27.5,9.3,6.5,33.8,2,9.3,66.9,>60 min,38.4,37.8,Low
EMP0044,Hamburg-Eimsbüttel,53.564742,9.943651,12.96,9.7,5.7,34.8,1,4.1,58.4,46–60 min,56.0,55.2,Medium
EMP0045,Hamburg-Harburg,53.494859,10.017369,21.24,6.9,7.3,31.1,1,10.7,60.0,>60 min,50.8,48.8,Medium
EMP0046,Hamburg-Harburg,53.460318,9.988737,31.34,10.9,8.7,51.6,2,3.5,82.7,>60 min,29.2,29.6,Low
EMP0047,Hamburg-Eimsbüttel,53.606219,9.922836,16.57,12.4,3.0,9.1,1,11.7,40.2,31–45 min,61.2,57.8,Medium
EMP0048,Hamburg-Eimsbüttel,53.621558,9.965066,4.77,9.0,7.4,26.6,1,5.3,52.3,46–60 min,60.7,59.9,Medium
EMP0049,Hamburg-Wandsbek,53.567792,10.059677,20.78,7.5,4.4,26.7,0,9.7,48.3,46–60 min,66.7,63.3,Medium
EMP0050,Hamburg-Altona,53.504962,9.972828,33.38,10.1,5.7,39.2,1,8.8,67.7,>60 min,43.0,40.4,Medium
EMP0051,Hamburg-Altona,53.545483,9.928718,20.17,12.1,6.9,51.8,0,5.4,76.3,>60 min,42.4,38.3,Low
EMP0052,Hamburg-Altona,53.574365,9.926872,23.93,9.2,8.3,35.5,1,12.2,69.2,>60 min,39.2,35.9,Low
EMP0053,Hamburg-Bergedorf,53.441344,10.264229,12.27,5.2,5.6,34.9,1,5.4,55.1,46–60 min,61.9,62.2,Medium
EMP0054,Hamburg-Wandsbek,53.666402,10.133075,23.74,6.0,4.7,26.9,0,9.1,46.7,46–60 min,70.2,67.4,Medium
EMP0055,Hamburg-Wandsbek,53.588176,10.142486,35.8,7.1,9.3,35.4,3,6.2,70.0,>60 min,35.6,38.4,Low
EMP0056,Hamburg-Bergedorf,53.439976,10.177391,30.24,9.1,8.5,42.2,1,10.9,74.6,>60 min,36.0,32.9,Low
EMP0057,Hamburg-Nord,53.604277,10.015116,2.0,3.7,5.0,30.9,0,2.7,42.3,31–45 min,81.0,80.5,High
EMP0058,Hamburg-Nord,53.613438,10.029898,15.38,14.3,5.9,26.9,0,3.6,50.7,46–60 min,63.9,60.2,Medium
EMP0059,Hamburg-Altona,53.551319,9.916324,16.3,10.3,6.9,41.0,1,5.6,67.8,>60 min,45.9,44.2,Medium
EMP0060,Hamburg-Altona,53.591754,9.944909,16.25,4.8,8.4,25.2,3,6.9,57.3,46–60 min,48.0,51.6,Medium
EMP0061,Hamburg-Wandsbek,53.604184,10.111346,22.41,7.4,6.8,21.1,1,9.5,48.8,46–60 min,61.1,59.6,Medium
EMP0062,Hamburg-Nord,53.52751,10.012976,4.39,2.0,4.1,31.7,2,3.0,48.8,46–60 min,64.5,67.5,Medium
EMP0063,Hamburg-Nord,53.628518,10.036661,2.0,7.4,4.7,38.6,0,6.7,57.5,46–60 min,61.9,59.2,Medium
EMP0064,Hamburg-Bergedorf,53.425943,10.192441,34.5,8.9,3.1,38.7,0,10.9,61.6,>60 min,52.6,48.1,Medium
EMP0065,Hamburg-Wandsbek,53.522674,10.051887,20.58,12.5,9.2,44.7,1,7.2,77.7,>60 min,33.5,30.5,Low
EMP0066,Hamburg-Nord,53.568723,10.001149,9.81,9.7,3.8,17.5,0,9.2,40.1,31–45 min,72.0,68.3,Medium
EMP0067,Hamburg-Nord,53.585503,9.985595,12.84,5.8,4.2,36.5,0,10.3,56.8,46–60 min,60.5,57.2,Medium
EMP0068,Hamburg-Eimsbüttel,53.575628,9.944502,6.48,5.2,6.5,22.7,0,6.1,40.4,31–45 min,79.3,77.9,High
EMP0069,Hamburg-Altona,53.485574,9.945372,26.17,9.0,5.1,22.4,0,8.0,44.4,31–45 min,70.2,66.9,Medium
EMP0070,Hamburg-Nord,53.53967,10.048283,2.27,11.6,4.8,34.4,0,7.5,58.3,46–60 min,56.3,52.0,Medium
EMP0071,Hamburg-Altona,53.561625,9.942158,22.72,5.0,8.8,22.9,2,6.6,51.3,46–60 min,58.6,60.5,Medium
EMP0072,Hamburg-Nord,53.600629,10.060744,3.47,12.7,7.5,29.6,0,4.8,54.6,46–60 min,61.0,57.3,Medium
EMP0073,Hamburg-Harburg,53.457358,9.959658,27.74,9.5,6.0,43.3,1,8.6,71.4,>60 min,40.6,38.2,Low
EMP0074,Hamburg-Eimsbüttel,53.594046,9.979388,16.28,9.6,7.7,17.8,1,16.7,55.8,46–60 min,45.7,41.2,Medium
EMP0075,Hamburg-Altona,53.515404,9.910077,26.47,8.6,5.8,15.2,0,11.4,41.0,31–45 min,70.2,66.1,Medium
EMP0076,Hamburg-Eimsbüttel,53.587576,9.889647,7.17,8.4,9.1,34.3,3,7.9,71.7,>60 min,31.0,32.8,Low
EMP0077,Hamburg-Eimsbüttel,53.562335,9.981822,11.84,9.9,6.1,32.4,1,3.5,56.0,46–60 min,58.3,57.7,Medium
EMP0078,Hamburg-Wandsbek,53.611313,10.084502,11.44,9.6,5.8,36.1,0,6.8,58.3,46–60 min,58.9,55.4,Medium
EMP0079,Hamburg-Nord,53.618459,9.99904,12.01,15.2,8.4,29.2,2,4.7,65.5,>60 min,38.4,37.4,Low
EMP0080,Hamburg-Bergedorf,53.497758,10.199589,35.93,7.7,3.3,49.1,1,3.2,67.3,>60 min,51.2,51.1,Medium
EMP0081,Hamburg-Wandsbek,53.566159,10.088678,25.84,7.2,5.2,29.8,1,3.5,49.7,46–60 min,66.5,66.9,Medium
EMP0082,Hamburg-Nord,53.572528,10.032306,8.81,7.6,3.7,25.7,1,10.6,51.7,46–60 min,57.3,55.4,Medium
EMP0083,Hamburg-Harburg,53.459243,9.910239,25.04,6.6,2.7,31.1,0,15.1,55.6,46–60 min,56.0,51.0,Medium
EMP0084,Hamburg-Altona,53.483728,9.95423,16.51,8.7,6.2,30.4,1,13.7,63.0,>60 min,43.5,40.0,Low
EMP0085,Hamburg-Altona,53.583419,9.893069,11.97,7.7,7.7,35.0,1,5.0,59.3,46–60 min,56.3,55.9,Medium
EMP0086,Hamburg-Altona,53.554198,9.936126,16.82,6.0,3.1,43.0,0,13.8,65.9,>60 min,49.1,44.5,Medium
EMP0087,Hamburg-Bergedorf,53.456309,10.228897,28.86,7.7,5.3,46.3,2,7.9,75.2,>60 min,34.3,34.4,Low
EMP0088,Hamburg-Nord,53.59269,10.029415,7.35,6.8,6.3,34.1,0,12.4,59.7,46–60 min,54.9,50.6,Medium
EMP0089,Hamburg-Altona,53.570864,9.986298,26.6,6.5,5.4,27.8,1,10.7,54.4,46–60 min,56.0,54.3,Medium
EMP0090,Hamburg-Nord,53.605671,9.983498,5.69,14.8,5.9,30.6,2,4.9,64.2,>60 min,39.6,38.8,Low
EMP0091,Hamburg-Altona,53.554161,9.89614,17.29,10.5,4.4,56.5,0,5.2,76.6,>60 min,44.0,40.3,Medium
EMP0092,Hamburg-Wandsbek,53.613322,10.08334,30.77,13.1,4.3,40.4,1,11.4,73.1,>60 min,32.7,28.4,Low
EMP0093,Hamburg-Nord,53.56025,10.019763,18.09,1.0,8.6,35.5,2,5.0,58.2,46–60 min,56.5,59.3,Medium
EMP0094,Hamburg-Eimsbüttel,53.560913,9.938925,15.11,8.8,4.3,17.2,0,7.1,37.4,31–45 min,77.2,74.4,High
EMP0095,Hamburg-Eimsbüttel,53.575992,9.974018,16.0,7.9,9.0,29.6,2,9.3,63.7,>60 min,42.5,42.4,Medium
EMP0096,Hamburg-Wandsbek,53.608252,10.112642,19.23,2.1,5.3,40.2,0,2.1,49.8,46–60 min,74.6,73.9,High
EMP0097,Hamburg-Eimsbüttel,53.591845,9.971513,10.72,9.5,7.8,15.1,1,7.2,43.6,31–45 min,65.7,64.4,Medium
EMP0098,Hamburg-Altona,53.56936,9.937639,22.49,12.7,4.3,32.2,1,5.4,58.5,46–60 min,51.6,49.6,Medium
EMP0099,Hamburg-Altona,53.578369,9.890079,20.07,8.7,3.8,45.8,0,7.2,65.5,>60 min,53.3,49.9,Medium
EMP0100,Ahrensburg,53.680782,10.227517,20.15,4.1,7.8,44.3,1,2.0,62.2,>60 min,58.6,59.4,Medium
EMP0101,Norderstedt,53.655076,10.00139,9.36,8.0,7.1,16.5,0,9.4,41.0,31–45 min,72.7,69.3,Medium
EMP0102,Hamburg-Wandsbek,53.572023,10.088245,26.07,4.7,6.1,46.2,1,12.2,73.3,>60 min,40.1,38.0,Low
EMP0103,Hamburg-Eimsbüttel,53.610633,9.909348,26.85,10.6,9.5,27.1,2,6.3,61.5,>60 min,44.7,44.8,Medium
EMP0104,Ahrensburg,53.648411,10.239991,25.6,10.2,2.0,40.3,0,12.3,64.8,>60 min,47.4,42.0,Medium
EMP0105,Hamburg-Bergedorf,53.464644,10.170714,28.4,3.3,2.2,56.2,1,9.6,75.3,>60 min,42.4,41.5,Medium
EMP0106,Hamburg-Wandsbek,53.606669,10.039368,21.22,9.4,7.7,29.4,1,6.7,57.1,46–60 min,54.9,53.4,Medium
EMP0107,Hamburg-Nord,53.518571,10.001519,19.14,8.1,3.7,26.2,3,8.4,58.4,46–60 min,42.2,44.3,Medium
EMP0108,Hamburg-Eimsbüttel,53.603225,9.948622,4.47,11.1,7.1,20.3,0,7.0,45.4,46–60 min,68.2,64.6,Medium
EMP0109,Hamburg-Altona,53.539892,9.909104,9.69,4.4,6.5,25.9,0,6.3,43.0,31–45 min,77.7,76.4,High
EMP0110,Norderstedt,53.66996,9.953135,2.94,9.9,2.7,34.8,0,3.9,51.3,46–60 min,67.5,65.0,Medium
EMP0111,Hamburg-Nord,53.582727,9.993864,7.49,8.3,2.0,12.6,0,4.3,27.2,≤30 min,89.3,87.8,High
EMP0112,Hamburg-Altona,53.521264,9.962242,21.29,14.0,3.7,36.0,0,8.2,61.8,>60 min,50.2,44.9,Medium
EMP0113,Hamburg-Eimsbüttel,53.587127,9.95596,11.59,4.4,7.5,27.3,2,7.1,54.4,46–60 min,56.2,58.0,Medium
EMP0114,Hamburg-Wandsbek,53.538088,10.106945,32.18,7.7,6.7,44.4,1,6.7,69.5,>60 min,45.8,44.6,Medium
EMP0115,Hamburg-Altona,53.544438,9.911421,20.19,2.3,5.4,46.6,1,8.7,67.0,>60 min,51.5,51.4,Medium
EMP0116,Hamburg-Harburg,53.46195,10.008955,31.27,7.1,7.3,38.9,1,8.6,65.9,>60 min,47.7,46.1,Medium
EMP0117,Hamburg-Bergedorf,53.493815,10.175832,32.6,8.3,8.2,50.4,3,9.2,88.0,>60 min,19.1,20.3,Low
EMP0118,Hamburg-Wandsbek,53.608058,10.079643,32.66,11.4,4.0,29.1,1,7.7,56.2,46–60 min,52.6,50.3,Medium
EMP0119,Hamburg-Nord,53.61044,9.9963,14.86,12.8,6.2,29.8,0,8.5,57.2,46–60 min,55.0,50.2,Medium
EMP0120,Hamburg-Wandsbek,53.568267,10.125789,23.23,8.4,2.0,27.3,1,7.8,49.5,46–60 min,61.2,59.9,Medium
EMP0121,Hamburg-Wandsbek,53.550221,10.090311,27.98,6.5,5.6,34.8,1,10.0,60.9,>60 min,51.1,49.5,Medium
EMP0122,Hamburg-Wandsbek,53.602427,10.083579,25.96,10.8,4.5,53.3,1,10.0,82.6,>60 min,28.4,25.0,Low
EMP0123,Hamburg-Altona,53.569493,9.920214,22.2,4.6,10.7,24.2,0,10.3,49.8,46–60 min,67.6,64.8,Medium
EMP0124,Hamburg-Nord,53.600729,10.014814,14.28,2.6,7.0,21.3,1,6.2,41.1,31–45 min,75.8,76.9,High
EMP0125,Hamburg-Altona,53.492668,9.927153,11.56,10.9,4.3,38.2,0,7.9,61.4,>60 min,53.9,49.7,Medium
EMP0126,Hamburg-Nord,53.622218,10.031612,6.51,8.2,2.0,29.7,0,4.1,44.0,31–45 min,75.2,73.3,High
EMP0127,Hamburg-Eimsbüttel,53.579878,9.965735,18.81,4.5,6.7,40.2,2,8.5,67.9,>60 min,43.1,44.2,Medium
EMP0128,Hamburg-Altona,53.598305,9.9427,9.15,8.4,4.9,34.8,1,10.5,62.5,>60 min,47.4,45.0,Medium
EMP0129,Hamburg-Altona,53.558342,9.946714,15.21,2.9,5.9,40.2,2,5.9,62.8,>60 min,51.8,54.3,Medium
EMP0130,Hamburg-Wandsbek,53.592528,10.107039,22.65,9.5,6.6,39.6,1,10.7,70.4,>60 min,39.3,36.3,Low
EMP0131,Hamburg-Altona,53.618196,9.919287,21.16,9.7,4.9,27.5,0,8.1,50.3,46–60 min,64.4,60.8,Medium
EMP0132,Norderstedt,53.697977,10.016478,12.08,7.3,10.0,22.8,3,11.2,63.3,>60 min,36.2,37.6,Low
EMP0133,Hamburg-Wandsbek,53.572247,10.084458,27.62,7.7,6.1,59.6,2,7.0,88.5,>60 min,27.3,27.5,Low
EMP0134,Hamburg-Eimsbüttel,53.591937,9.931403,11.14,7.8,8.7,25.2,2,10.2,59.9,46–60 min,45.0,44.8,Medium
EMP0135,Hamburg-Wandsbek,53.559157,10.058434,11.74,6.4,13.6,48.4,2,5.2,81.6,>60 min,32.9,34.0,Low
EMP0136,Hamburg-Altona,53.566431,9.950232,20.31,5.4,5.7,31.6,0,4.8,47.5,46–60 min,74.4,73.0,High
EMP0137,Ahrensburg,53.675433,10.231955,13.56,9.8,4.5,61.0,1,6.9,86.2,>60 min,30.8,28.6,Low
EMP0138,Hamburg-Nord,53.611104,10.02519,6.01,6.6,3.1,34.4,0,14.0,58.2,46–60 min,54.8,50.2,Medium
EMP0139,Hamburg-Bergedorf,53.488178,10.246168,28.94,2.4,5.4,48.1,1,7.5,67.4,>60 min,52.2,52.4,Medium
EMP0140,Hamburg-Altona,53.581388,9.973751,24.74,11.2,5.6,30.4,1,7.1,58.3,46–60 min,51.5,49.3,Medium
EMP0141,Hamburg-Nord,53.61278,9.996949,3.09,13.3,5.2,30.1,1,5.4,58.0,46–60 min,51.3,49.1,Medium
EMP0142,Hamburg-Nord,53.675576,10.028319,15.48,8.3,5.3,21.2,0,5.6,40.4,31–45 min,76.7,74.5,High
EMP0143,Norderstedt,53.687745,9.962437,6.77,7.5,4.4,11.7,1,4.8,32.3,31–45 min,79.8,80.1,High
EMP0144,Hamburg-Wandsbek,53.529624,10.053938,18.28,7.1,7.5,31.6,1,11.7,61.8,>60 min,48.1,45.7,Medium
EMP0145,Hamburg-Nord,53.574526,10.02996,18.2,7.8,2.0,21.7,1,11.5,47.0,46–60 min,60.1,57.9,Medium
EMP0146,Hamburg-Eimsbüttel,53.58694,9.969734,14.83,8.7,6.8,36.4,1,11.3,67.2,>60 min,42.3,39.4,Low
EMP0147,Hamburg-Eimsbüttel,53.59771,9.953172,19.79,9.8,4.3,17.2,1,7.4,42.7,31–45 min,65.9,64.5,Medium
EMP0148,Hamburg-Nord,53.643148,10.028309,12.08,1.0,9.0,45.1,1,4.2,63.2,>60 min,57.7,58.5,Medium
EMP0149,Hamburg-Nord,53.6234,10.054244,2.52,9.4,6.9,35.6,0,9.1,61.0,>60 min,54.6,50.5,Medium
EMP0150,Hamburg-Altona,53.536778,9.925816,15.5,11.6,10.1,43.3,0,6.7,71.8,>60 min,45.5,41.2,Medium
EMP0151,Hamburg-Harburg,53.455401,10.018731,39.61,6.5,5.5,22.9,1,5.3,44.3,31–45 min,69.9,70.1,High
EMP0152,Norderstedt,53.682793,9.995125,9.2,6.8,7.5,24.2,1,10.5,53.0,46–60 min,57.1,55.4,Medium
EMP0153,Hamburg-Altona,53.480498,9.950501,20.07,14.7,7.3,37.4,0,7.2,66.5,>60 min,46.4,41.2,Medium
EMP0154,Hamburg-Nord,53.595254,10.02254,11.8,1.3,8.5,31.4,2,12.4,61.6,>60 min,47.8,48.8,Medium
EMP0155,Hamburg-Altona,53.490357,9.929342,18.86,16.3,8.0,42.4,0,10.5,77.2,>60 min,32.5,25.5,Low
EMP0156,Hamburg-Wandsbek,53.607804,10.101756,26.5,10.4,8.0,36.6,0,5.1,60.1,>60 min,58.3,55.1,Medium
EMP0157,Hamburg-Eimsbüttel,53.605232,9.989283,17.94,7.9,5.3,22.5,0,8.6,44.3,31–45 min,70.8,67.7,Medium
EMP0158,Hamburg-Wandsbek,53.571427,10.049088,28.72,12.7,9.5,35.2,1,5.0,66.4,>60 min,45.3,43.1,Medium
EMP0159,Hamburg-Bergedorf,53.502656,10.200534,15.36,10.4,5.8,46.1,1,4.7,70.9,>60 min,44.0,42.5,Medium
EMP0160,Hamburg-Bergedorf,53.428692,10.248399,26.32,8.1,9.4,45.8,2,7.7,79.0,>60 min,30.8,30.8,Low
EMP0161,Hamburg-Altona,53.525376,9.900205,21.85,11.4,2.0,18.3,0,7.9,39.5,31–45 min,72.1,68.3,Medium
EMP0162,Norderstedt,53.672561,9.963352,8.69,4.7,8.5,16.8,1,7.5,41.4,31–45 min,72.1,72.2,High
EMP0163,Hamburg-Eimsbüttel,53.538966,9.977749,5.78,3.1,11.2,29.2,2,8.9,60.2,>60 min,50.8,52.3,Medium
EMP0164,Hamburg-Altona,53.543578,9.981497,8.83,12.1,2.0,28.9,0,5.8,48.8,46–60 min,65.6,62.0,Medium
EMP0165,Hamburg-Nord,53.664662,9.974334,11.9,6.7,3.8,39.1,0,8.3,57.9,46–60 min,60.7,57.7,Medium
EMP0166,Hamburg-Eimsbüttel,53.58191,9.974888,10.1,11.1,4.6,32.8,2,4.9,61.5,>60 min,45.6,45.9,Medium
EMP0167,Hamburg-Harburg,53.443717,9.966258,43.62,7.6,8.1,49.6,1,8.2,77.5,>60 min,37.6,35.8,Low
EMP0168,Hamburg-Harburg,53.442684,9.982688,23.03,10.3,6.1,40.7,0,10.5,67.6,>60 min,46.7,41.8,Medium
EMP0169,Hamburg-Eimsbüttel,53.571135,9.920278,8.12,11.0,2.5,17.3,0,6.2,36.9,31–45 min,76.4,73.3,High
EMP0170,Ahrensburg,53.664169,10.243194,21.23,5.9,6.5,40.5,1,5.7,62.6,>60 min,54.6,54.4,Medium
EMP0171,Hamburg-Eimsbüttel,53.552969,9.955436,26.9,9.8,7.4,32.3,2,5.3,62.8,>60 min,45.5,46.1,Medium
EMP0172,Hamburg-Nord,53.634459,9.998947,11.99,7.9,9.3,29.1,1,7.7,57.9,46–60 min,54.6,53.3,Medium
EMP0173,Hamburg-Eimsbüttel,53.581223,9.975217,19.32,10.3,12.0,40.7,3,5.7,80.7,>60 min,23.7,25.5,Low
EMP0174,Norderstedt,53.674963,10.027669,5.16,7.5,8.3,29.4,1,11.7,60.8,>60 min,48.6,46.2,Medium
EMP0175,Hamburg-Altona,53.500656,9.928543,23.33,8.6,9.4,35.0,1,10.4,67.4,>60 min,43.0,40.4,Medium
EMP0176,Hamburg-Altona,53.540857,9.967471,19.58,13.3,6.4,19.6,0,7.4,46.7,46–60 min,64.6,60.1,Medium
EMP0177,Hamburg-Nord,53.561342,10.038433,6.81,6.4,10.1,34.3,2,11.4,70.2,>60 min,36.3,35.9,Low
EMP0178,Pinneberg,53.715516,9.756626,16.13,9.9,7.0,43.3,2,9.4,77.6,>60 min,28.5,27.5,Low
EMP0179,Norderstedt,53.63752,10.005989,4.72,7.5,7.3,21.1,1,3.0,42.9,31–45 min,72.5,73.1,High
EMP0180,Hamburg-Bergedorf,53.492047,10.240383,24.35,12.3,10.3,50.9,2,12.5,93.9,>60 min,17.2,14.4,Low
EMP0181,Norderstedt,53.68817,9.994532,8.1,1.0,7.9,40.2,0,9.4,58.5,46–60 min,64.7,63.1,Medium
EMP0182,Norderstedt,53.698495,9.996505,6.48,3.6,8.4,32.1,1,5.1,53.2,46–60 min,65.5,66.4,Medium
EMP0183,Hamburg-Nord,53.63139,9.971754,14.82,11.0,12.3,41.3,2,8.2,80.8,>60 min,25.9,24.8,Low
EMP0184,Hamburg-Eimsbüttel,53.572804,9.955118,24.47,5.5,5.4,34.3,1,11.7,61.0,>60 min,50.3,48.5,Medium
EMP0185,Hamburg-Bergedorf,53.51383,10.203896,19.99,11.5,3.8,40.1,1,5.3,64.7,>60 min,47.5,45.7,Medium
EMP0186,Hamburg-Wandsbek,53.561041,10.056092,31.94,6.8,5.0,32.6,1,2.4,50.8,46–60 min,67.0,67.8,Medium
EMP0187,Hamburg-Eimsbüttel,53.55458,9.948939,24.8,12.6,7.7,27.6,0,8.6,56.5,46–60 min,55.6,50.8,Medium
EMP0188,Hamburg-Altona,53.545581,9.954929,18.02,8.3,11.9,33.6,3,5.0,70.8,>60 min,34.9,37.7,Low
EMP0189,Hamburg-Bergedorf,53.467023,10.235192,39.84,6.2,7.7,47.3,2,9.8,79.0,>60 min,30.7,30.6,Low
EMP0190,Hamburg-Eimsbüttel,53.581704,9.926237,12.48,15.2,6.5,16.8,1,4.8,47.3,46–60 min,59.2,56.9,Medium
EMP0191,Norderstedt,53.679436,9.98797,2.0,5.5,4.3,13.9,0,9.3,33.0,31–45 min,82.1,79.7,High
EMP0192,Hamburg-Eimsbüttel,53.56339,9.96213,24.62,6.8,6.4,31.8,0,7.2,52.2,46–60 min,66.6,64.0,Medium
EMP0193,Hamburg-Altona,53.545352,9.964869,27.4,7.3,7.4,46.5,1,9.1,74.3,>60 min,39.8,37.9,Low
EMP0194,Hamburg-Harburg,53.416615,9.949039,16.54,5.9,9.1,46.1,1,3.5,68.7,>60 min,51.5,51.8,Medium
EMP0195,Hamburg-Altona,53.577716,9.901639,14.83,7.8,8.8,45.2,2,6.9,76.7,>60 min,34.0,34.3,Low
EMP0196,Hamburg-Altona,53.573196,9.932757,19.7,10.5,9.3,35.7,3,11.6,79.0,>60 min,19.1,19.1,Low
